Feature,Coefficient
like,0.48506929126737763
like_o,0.4167708537905187
attr,0.27265788973513655
attr_o,0.2695588534668913
prob_o,0.22979674428953847
prob,0.20509187155218656
fun_o,0.1676806672966006
them_cal,0.14614113622614003
fun,0.11277912462596845
shar_o,0.03907958516270371
numdat_3,0.02638823169616033
shar,0.019454026325589728
fun7_2,0.019072987450703193
match_es,0.014868484909520448
race_o,0.014325659582915515
int_corr,0.0026850069402859747
date_3,0.0009407988756312391
met_o,0.0
amb_o,0.0
intel,0.0
sinc_o,0.0
sinc,0.0
num_in_3,0.0
fun3_2,0.0
clubbing,0.0
sinc4_1,0.0
fun1_2,0.0
date,0.0
satis_2,0.0
shar1_1,0.0
go_out,0.0
fun3_1,0.0
imprace,0.0
pf_o_sha,0.0
you_call,0.0
expnum,0.0
age,0.0
yoga,0.0
art,0.0
age_o,0.0
movies,0.0
field_cd,0.0
met,0.0
sinc4_2,0.0
intel2_1,0.0
pf_o_sin,0.0
music,0.0
pf_o_fun,0.0
shar2_1,0.0
round,0.0
concerts,0.0
amb,0.0
intel_o,0.0
intel1_s,0.0
amb3_2,0.0
race,0.0
attr3_2,0.0
sinc1_1,0.0
fun3_3,0.0
fun1_1,0.0
pf_o_int,0.0
intel5_1,0.0
amb4_2,0.0
order,0.0
imprelig,0.0
tv,0.0
intel1_1,0.0
length,0.0
attr5_1,0.0
shar2_2,0.0
intel2_3,0.0
amb3_3,0.0
hiking,0.0
shar7_3,0.0
shar4_2,0.0
fun1_3,0.0
amb1_3,0.0
pid,0.0
intel4_3,0.0
attr3_3,0.0
wave,0.0
exphappy,0.0
amb2_3,0.0
sinc5_1,0.0
intel4_2,0.0
shar4_1,0.0
sinc1_2,0.0
attr1_2,0.0
attr1_3,0.0
amb5_3,0.0
intel1_3,0.0
intel3_3,0.0
amb5_1,0.0
attr2_1,0.0
fun5_1,0.0
attr4_3,0.0
fun5_3,0.0
attr2_3,0.0
shar7_2,0.0
intel2_2,0.0
shar4_3,0.0
attr7_3,0.0
intel7_3,0.0
intel5_3,0.0
amb1_s,0.0
sports,0.0
fun2_3,0.0
attr5_3,0.0
career_c,0.0
amb7_3,0.0
sinc1_s,0.0
museums,0.0
fun4_3,0.0
sinc5_3,0.0
sinc2_2,0.0
position,0.0
dining,0.0
goal,0.0
amb3_1,0.0
sinc7_2,0.0
fun4_1,0.0
sinc3_2,0.0
fun7_3,0.0
intel4_1,0.0
sinc7_3,0.0
sinc2_3,0.0
sinc4_3,0.0
gaming,0.0
shar1_s,0.0
shar2_3,0.0
attr4_1,0.0
sinc3_3,0.0
intel1_2,0.0
intel3_2,0.0
shar1_3,0.0
sinc3_1,0.0
intel3_s,0.0
fun2_2,0.0
idg,0.0
exercise,0.0
attr5_2,0.0
sinc2_1,0.0
intel5_2,0.0
numdat_2,0.0
amb2_1,0.0
amb4_3,0.0
amb7_2,0.0
intel7_2,0.0
attr2_2,0.0
tvsports,0.0
pf_o_amb,0.0
attr7_2,0.0
amb3_s,0.0
shar1_2,0.0
attr1_s,0.0
fun1_s,0.0
fun3_s,0.0
attr3_s,0.0
samerace,0.0
attr1_1,0.0
sinc3_s,0.0
fun4_2,0.0
reading,0.0
gender,0.0
intel3_1,0.0
fun2_1,0.0
amb2_2,0.0
sinc1_3,0.0
partner,0.0
amb5_2,0.0
sinc5_2,0.0
attr4_2,0.0
theater,0.0
amb1_1,0.0
pf_o_att,0.0
amb1_2,0.0
fun5_2,0.0
attr3_1,-0.002847369986731299
shopping,-0.0051886192235817185
condtn,-0.007301318602953606
amb4_1,-0.0374827631060275
