Feature,Coefficient
like,0.06556285203141259
like_o,0.050877563500390695
fun_o,0.04239468056400131
prob_o,0.032008349275285966
fun,0.031331600543800416
attr,0.030423369076511945
shar_o,0.02955370173853901
attr_o,0.02825293404915355
prob,0.026852704736855432
shar,0.02553891569506674
int_corr,0.015533200203924794
intel_o,0.011753771759910282
order,0.0116653788194167
pid,0.011103525318118227
age_o,0.01098801777880515
pf_o_sin,0.010703096160614515
partner,0.010484547644560383
pf_o_sha,0.010291917086863354
intel,0.010032128716063123
pf_o_int,0.009986509048558691
pf_o_att,0.009975346782133854
sinc,0.009761128478538257
pf_o_fun,0.009680863170542136
sinc_o,0.00959855641355535
amb,0.009533487491268106
position,0.009317929982536935
pf_o_amb,0.00926474124769493
amb_o,0.008915149300647353
match_es,0.006890863109706574
idg,0.00686075040760035
attr1_1,0.006406836652723424
attr2_1,0.006040254612051197
intel1_1,0.005843525955635883
shar1_1,0.005826415897539608
amb2_1,0.005566752828309578
amb1_1,0.005486606893560105
yoga,0.005468232182592715
shar1_2,0.005412885712599366
field_cd,0.005400008202087829
age,0.005356028024055972
hiking,0.005242426114149077
them_cal,0.005122033934649457
sinc1_1,0.005082505465450969
race_o,0.004959457069735256
fun1_1,0.0049386187893585886
imprace,0.00485817478092634
clubbing,0.004836749920740464
fun2_1,0.004819795442159135
tv,0.004753196756370496
shar2_1,0.004700167096307354
attr1_2,0.004686788667807694
intel2_1,0.004649002682366098
sinc2_1,0.004628424139150643
amb1_2,0.0045986364082501435
art,0.004382344626091003
exercise,0.004301869982870081
satis_2,0.004295598678242213
gaming,0.004261013279603408
intel1_2,0.004236991413611974
concerts,0.004217619791887474
sports,0.00419704378645238
tvsports,0.004078314722056394
sinc1_2,0.004054037756669942
fun1_2,0.004025001539123629
round,0.003999582547928232
date,0.003982317393160134
shopping,0.0039807967696258205
exphappy,0.003899740209710876
imprelig,0.0038851552356414317
fun3_1,0.003866870673080287
amb3_2,0.00382939306856502
music,0.003822890537533431
theater,0.003643355053963399
sinc4_1,0.0036008135311284195
reading,0.003560185145432321
sinc3_1,0.0035556073134716524
shar4_1,0.0035283225223192854
sinc2_2,0.003526743275948751
shar2_2,0.0034900438053319734
career_c,0.003420928711594644
amb2_2,0.0033918960997292836
amb3_1,0.0033874763758309106
attr4_1,0.0033278730613572668
museums,0.0033272639149055927
intel2_2,0.0033235827291078
wave,0.0033231443719961384
attr1_s,0.003282695278635491
dining,0.0032276108172591875
movies,0.0031771457872560283
amb1_s,0.0031721034564223577
fun2_2,0.0031504666338739796
fun4_1,0.00314869952411551
shar4_2,0.003134178189908834
sinc1_s,0.0031329061153434223
fun4_2,0.003118703606068662
met_o,0.003109588457507905
intel3_2,0.0029988585560024802
shar1_3,0.002962556072377125
attr3_2,0.0029580024191284654
sinc3_2,0.0029521983318258976
attr2_2,0.0029448410440621664
amb4_1,0.0029179567825390325
shar1_s,0.002909633767697236
fun1_s,0.002883211597332082
fun3_2,0.002872102506006437
attr1_3,0.0028597325615204797
sinc4_2,0.0028503741882906245
intel1_s,0.002828530624324798
attr3_1,0.002802614822710112
attr4_2,0.0026920968696311233
goal,0.0026508733673089855
intel4_1,0.0026397591701649834
amb4_2,0.0025852453495357392
amb3_3,0.0025003666552414726
go_out,0.002489197058036434
attr2_3,0.002381422574809711
amb1_3,0.0023683537251848828
expnum,0.0023337839700468127
sinc1_3,0.002326363119643403
intel4_2,0.002278379092439131
race,0.00223081459521578
attr4_3,0.0022166209749360753
samerace,0.002182059712306956
you_call,0.002178237122493636
fun1_3,0.002132521786817496
amb3_s,0.0020954825886222396
fun5_1,0.0020736813592027513
intel3_1,0.002029185880977668
fun3_s,0.002005919466494272
sinc2_3,0.001979363891002028
sinc3_s,0.0019747112764047373
numdat_3,0.0019561771764399025
intel1_3,0.0019217092042846933
sinc5_2,0.0019192409061433513
numdat_2,0.0019058572738440745
attr3_3,0.0018605771679673503
sinc3_3,0.001859148557712135
attr3_s,0.0018353482048271393
amb5_2,0.0018228763655246639
met,0.0018011314440775016
amb5_1,0.0017613759442926165
fun5_2,0.0017452364210991567
intel4_3,0.0017331058770671264
attr5_1,0.0017260452051372954
sinc5_1,0.001724251763682677
sinc7_2,0.0017164409168048999
fun3_3,0.0017125569945965302
fun7_2,0.0016792702082943324
intel2_3,0.0016786275208444342
intel3_s,0.0016150979184964811
intel5_2,0.0015745949865603036
length,0.0015483280263929556
attr5_2,0.0015150407027711814
amb4_3,0.0015120274403660162
shar4_3,0.0014779029748880506
date_3,0.0014664308064433911
amb7_2,0.0013870631794192859
intel5_1,0.0013754202327807405
attr7_3,0.0013476262077842887
amb2_3,0.0013412380885731963
intel3_3,0.0012909195066518277
condtn,0.0012843498417211504
intel7_3,0.0012791837629815082
attr7_2,0.0012146829870685735
intel7_2,0.0011769293635246656
fun5_3,0.0011674654854473662
sinc4_3,0.0011519345832597344
fun4_3,0.0011352846299188544
fun2_3,0.0010266954967613085
amb5_3,0.001018586796003102
shar7_2,0.0009622754018143683
amb7_3,0.0009406289993445848
sinc7_3,0.0008362964047922097
num_in_3,0.0008296558598248288
fun7_3,0.0007975890687183609
sinc5_3,0.0007668275906495029
gender,0.0007318190799204933
shar7_3,0.0007301273433808634
shar2_3,0.0007170777575782
intel5_3,0.0006731784009805652
attr5_3,0.00046467089119223826
